1,2000/10/05,2,8,10,13,27,30,39
2,2000/10/12,1,9,16,20,21,43,5
3,2000/10/19,1,5,15,31,36,38,13
4,2000/10/26,16,18,26,27,34,40,13
5,2000/11/02,9,15,21,23,27,28,43
6,2000/11/09,6,12,23,25,28,38,22
7,2000/11/16,7,19,21,23,33,35,26
8,2000/11/23,11,16,18,20,42,43,28
9,2000/11/30,11,19,23,38,39,42,15
10,2000/12/07,1,3,19,21,35,39,26
11,2000/12/14,12,26,32,37,40,42,16
12,2000/12/21,14,17,27,28,35,39,22
13,2000/12/28,13,29,31,37,41,42,17
14,2001/01/04,2,8,11,35,37,38,43
15,2001/01/11,4,6,11,20,21,28,36
16,2001/01/18,5,12,13,29,34,35,30
17,2001/01/25,14,20,25,34,35,36,11
18,2001/02/01,6,16,18,27,36,41,33
19,2001/02/08,4,8,12,30,33,43,14
20,2001/02/15,7,29,33,35,37,39,19
